,age,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education,default_yes,balance,housing_yes,loan_yes,contact_cellular,contact_telephone,contact_unknown,day,month,duration,campaign,pdays,previous,y_yes
5295,0.41109197977010914,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.5021553071243835,1.0,0.0,0.0,0.0,1.0,0.7887594195797047,0.7272727272727273,0.5471487179917711,0.0,0.0,0.0,0.0
44593,0.5105224314346498,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.44462069263834014,0.0,1.0,0.0,0.0,1.0,0.7609189401162374,0.09090909090909091,0.1136541390058291,0.0,0.0,0.0,0.0
2269,0.3734006094509599,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.4630979779975733,1.0,0.0,0.0,0.0,1.0,0.4569154538796922,0.7272727272727273,0.5242924028211559,0.3634984848690735,0.0,0.0,0.0
22496,0.63136486502706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.45412495244599227,0.0,0.0,1.0,0.0,0.0,0.7609189401162374,0.09090909090909091,0.38642102215230467,0.643866793491338,0.0,0.0,0.0
29851,0.44633017314416673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.45118364831870084,0.0,0.0,1.0,0.0,0.0,0.15270320232933415,0.2727272727272727,0.4646443590066027,0.3634984848690735,0.0,0.0,0.0
40708,0.3115100804444392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4554912300380516,0.0,0.0,1.0,0.0,0.0,0.2775417665702982,0.09090909090909091,0.4698013091798194,0.3634984848690735,0.0,0.0,0.0
38369,0.42899906981097535,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.5128391658602296,1.0,0.0,1.0,0.0,0.0,0.5539855118162355,0.7272727272727273,0.23312486663173537,0.7598414984529219,0.0,0.0,0.0
4308,0.63136486502706,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.4494541541473018,1.0,1.0,0.0,0.0,1.0,0.675037563895512,0.7272727272727273,0.5133556297603971,0.7598414984529219,0.0,0.0,0.0
12722,0.5811072362848717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.44184694900869825,1.0,0.0,1.0,0.0,0.0,0.2775417665702982,0.4545454545454546,0.5202177075459163,0.3634984848690735,0.0,0.0,0.0
24390,0.6770998222738782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.4710823270690981,0.0,0.0,1.0,0.0,0.0,0.6155559650854722,0.8181818181818182,0.6995966785151391,0.0,0.0,0.0,1.0
27777,0.63136486502706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.45564637347262477,1.0,0.0,1.0,0.0,0.0,0.922951227354249,0.36363636363636365,0.7515759327006765,0.0,0.0,0.0,1.0
19928,0.5941409014200917,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.418655646186229,0.0,0.0,1.0,0.0,0.0,0.31570368092323503,0.09090909090909091,0.44541185889412027,0.643866793491338,0.0,0.0,0.0
22927,0.6879124675249382,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5153204997798578,0.0,0.0,1.0,0.0,0.0,0.8702099180694389,0.09090909090909091,0.6066368423838842,0.7598414984529219,0.0,0.0,0.0
44371,0.3734006094509599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.45037720679287085,0.0,0.0,1.0,0.0,0.0,0.05590147071564855,0.09090909090909091,0.4037252268754702,0.8227303897625311,0.9784381060910203,0.9965739961641924,0.0
16666,0.24186900278550633,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.44596660668456384,1.0,0.0,1.0,0.0,0.0,0.8162426064865771,0.4545454545454546,0.5033113200492405,0.0,0.0,0.0,0.0
20986,0.606852254917416,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.5121735195932459,0.0,0.0,1.0,0.0,0.0,0.5223114842342714,0.09090909090909091,0.5181389738839521,0.5401030879687336,0.0,0.0,0.0
28546,0.24186900278550633,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.4469058924558498,0.0,0.0,1.0,0.0,0.0,0.9488971067581214,0.36363636363636365,0.545403456418187,0.3634984848690735,0.0,0.0,0.0
