,age,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education,default_yes,balance,housing_yes,loan_yes,contact_cellular,contact_telephone,contact_unknown,day,month,duration,campaign,pdays,previous,y_yes
15243,0.525423204712889,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.44629913985160746,1.0,0.0,1.0,0.0,0.0,0.6155559650854722,0.4545454545454546,0.42711261764460867,0.928954316292993,0.0,0.0,0.0
20759,0.606852254917416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.45096073832206673,0.0,0.0,1.0,0.0,0.0,0.4899757020006308,0.09090909090909091,0.5560070425289505,0.3634984848690735,0.0,0.0,0.0
41314,0.44633017314416673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.45234296317603057,1.0,0.0,1.0,0.0,0.0,0.8967265382031042,0.09090909090909091,0.5803154308729568,0.3634984848690735,0.9966201298709976,0.9414679239600259,1.0
31362,0.2660539485513008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.4540023991496049,0.0,0.0,1.0,0.0,0.0,0.6455394290026059,0.6363636363636364,0.5095283467101686,0.3634984848690735,0.0,0.0,0.0
4976,0.44633017314416673,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4423987260806786,1.0,1.0,0.0,0.0,1.0,0.7327006691302771,0.7272727272727273,0.22324967075267282,0.3634984848690735,0.0,0.0,0.0
23030,0.525423204712889,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.4546487718909001,0.0,0.0,1.0,0.0,0.0,0.8702099180694389,0.09090909090909091,0.6008295675817548,0.8620165623064702,0.0,0.0,0.0
12981,0.47939511549342967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.44424131969557634,1.0,1.0,1.0,0.0,0.0,0.2775417665702982,0.4545454545454546,0.6128280374181795,0.7119052167027216,0.0,0.0,0.0
12517,0.3734006094509599,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.4261364501475568,0.0,1.0,0.0,0.0,1.0,0.05590147071564855,0.4545454545454546,0.7110032164352538,0.5401030879687336,0.0,0.0,0.0
33431,0.5399122263778003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.45219026166635845,0.0,1.0,1.0,0.0,0.0,0.7040819380787027,0.0,0.41697368379092464,0.0,0.0,0.0,1.0
2829,0.3925724619011865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.4486279859713411,1.0,0.0,0.0,0.0,1.0,0.5223114842342714,0.7272727272727273,0.6448927887588155,0.0,0.0,0.0,0.0
